Chemical,Dose,time_end,se,sd,mean,median,n
F53B,1,19,77.57453254610998,268.72606348653585,991.8083333333334,1043.85,12
F53B,1,20,145.63979538573926,504.51105042407147,1145,1150.15,12
F53B,1,21,115.54079818598512,400.2450656103764,1808.4363636363637,1893.7,12
F53B,1,22,105.79127427213083,366.4717240735696,1650.0636363636363,1714.5,12
F53B,1,23,84.14743347604879,291.49526021407735,1717.2454545454545,1743.8000000000002,12
F53B,1,24,94.59009117494733,327.6696876151625,1658.8272727272727,1664.3,12
F53B,1,25,84.9083389023217,294.1311139301964,1732.4272727272728,1701.6,12
F53B,1,26,89.06316986988915,308.52387059557117,1262.9454545454546,1220.5,12
F53B,1,27,100.89047125797642,349.4948444367653,1230.1583333333333,1223.25,12
F53B,1,28,211.48777718579836,732.6151505312176,1193.9333333333334,1018.5,12
F53B,1,29,199.3289903214677,690.495877316374,1196.475,1163.3500000000001,12
F53B,1,30,173.32727582655463,600.4232961381949,1154.3636363636363,1113.9,12
F53B,1,31,73.56917297429143,254.8510909245918,1833.1363636363635,1812.3,12
F53B,1,32,96.5593315014142,334.4913362106708,1507.9,1648.6000000000001,12
F53B,1,33,72.57823177284443,251.4183699081527,1611.1545454545455,1624.5,12
F53B,1,34,69.67398888590152,241.35777743274141,1616.7454545454545,1632.3999999999999,12
F53B,1,35,108.13500001050875,374.59062818932443,1520.3454545454545,1584,12
F53B,1,36,185.71378638794013,643.3314273798113,1075.5,898.3,12
F53B,1,37,202.9114303723612,702.9058136828085,1063.409090909091,945.4000000000001,12
F53B,1,38,135.0792114975057,467.9281147200438,843.3363636363637,812.4,12
F53B,1,39,144.80707285379694,501.6264149562084,897.5727272727272,863.2,12
F53B,1,40,192.40522968227998,666.5112669033367,1061.3909090909092,897.4,12
F53B,1,41,105.28762064272352,364.7270167224697,1704.5454545454545,1618.8,12
F53B,1,42,69.47723738859739,240.6762102531494,1425.1272727272726,1393.6,12
F53B,1,43,59.88535891285292,207.44896853311792,1541.1363636363637,1538.9,12
F53B,1,44,43.14263956325399,149.45048739237413,1624.6272727272728,1639.8,12
F53B,1,45,52.54972464824209,182.03758602901968,1585.1545454545455,1508.2,12
F53B,1,46,159.28371602476057,551.7749779465165,878.0583333333334,735.65,12
F53B,1,47,159.64327679868077,553.0205330041937,897.4083333333334,901.45,12
F53B,1,48,195.0046207688734,675.5158217647796,1001.8000000000001,804.75,12
F53B,1,49,140.04937213841282,485.1452562237043,710.3181818181819,557.8,12
F53B,1,50,171.35854096194348,593.6033985139175,866.5454545454545,795.5,12
OBS,0,1,152.26867276563516,527.474155262319,1471.1916666666666,1522.35,12
OBS,0,2,200.06148770724556,693.0333226935313,1210.6499999999999,1535.1,12
OBS,0,3,210.5388729882,729.3280499677062,1275.5583333333334,1575.8500000000001,12
OBS,0,4,215.52745323913487,746.608998872214,1203.5916666666667,1468.05,12
OBS,0,5,258.2491477295333,894.6012897578248,1351.2818181818182,1672.2,12
OBS,0,6,298.86185160135875,1035.2878228353268,1234.3111111111111,1110.5,12
OBS,0,7,220.8966662103735,765.2084981979002,1050.65,936.6500000000001,12
OBS,0,8,217.39991745884154,753.0954051999875,932.76,611.45,12
OBS,0,9,209.55348641019236,725.9145707312948,946.88,722.45,12
OBS,0,10,206.14795749565317,714.1174725180413,955.4699999999999,764.45,12
OBS,0,11,218.628102348174,757.3499624588118,1125.4818181818182,1391.8000000000002,12
OBS,0,12,257.02444683949454,890.358801426581,1326.5555555555557,1363.9,12
OBS,0,13,256.2021018823393,887.5101149322992,1260.1125,1184,12
OBS,0,14,260.26476328717376,901.5835868665439,1238.7875,1202.1,12
OBS,0,15,234.0966288244752,810.934510009168,1089.857142857143,915.7,12
OBS,0,16,224.7924616297343,778.7039294023543,1222.6166666666668,1298.8,12
OBS,0,17,222.44862527983602,770.584642117053,1228.9333333333334,1287.75,12
OBS,0,18,264.79013513850293,917.2599348058324,1230.6399999999999,1037.2,12
OBS,0,19,184.5927599038721,639.448077725739,1267.1125,1297.85,12
OBS,0,20,175.64483803113637,608.4515671142688,1173.5571428571427,1195.1,12
OBS,0,21,99.24257983737516,343.7863811050888,1857.0749999999998,1841.6,12
OBS,0,22,73.81606363116366,255.70634524782525,1562.3,1482.9,12
OBS,0,23,75.10661575493022,260.17694894418446,1643.1857142857143,1702.6999999999998,12
OBS,0,24,117.00095966910727,405.3032133624218,1664.0142857142857,1731.5,12
OBS,0,25,96.10319664174499,332.91123870657003,1637.857142857143,1613.1000000000001,12
OBS,0,26,139.93202351035913,484.7387486517293,1530.5777777777778,1663.5,12
OBS,0,27,180.92754721509337,626.7514085307173,1755.8857142857144,1847.7,12
OBS,0,28,214.08300117930753,741.605270158777,1369.2545454545455,1402.9,12
OBS,0,29,262.5673326342534,909.5599210607292,1229.1,1485.3,12
OBS,0,30,244.23313705984953,846.0484045591853,1131.1000000000001,1129,12
OBS,0,31,93.95865831429384,325.4823400227217,1458.6833333333334,1369.25,12
OBS,0,32,32.70822229280514,113.30460567279098,1464.4833333333333,1427.25,12
OBS,0,33,118.17357102537308,409.365258255591,1505.2666666666667,1567.3000000000002,12
OBS,0,34,76.53447371391972,265.1231940061073,1460.9,1456.25,12
OBS,0,35,95.37396549190346,330.3851079025952,1507.9571428571428,1486.4,12
OBS,0,36,129.44024753459868,448.39417054843403,1182.5272727272727,1209.4,12
OBS,0,37,210.31399563333693,728.5490519595171,1123.411111111111,1023.2,12
OBS,0,38,214.25767197465768,742.2103475430669,1097.6666666666667,1066,12
OBS,0,39,212.05232146108904,734.5707892670688,1009.0222222222222,1176.8999999999999,12
OBS,0,40,211.3513255293903,732.1424681278662,1120.5181818181818,1214.1999999999998,12
OBS,0,41,193.91596411561605,671.7446044939004,1255.1166666666668,1491.15,12
OBS,0,42,140.4542235629341,486.5477026972792,1414.8799999999999,1556.1999999999998,12
OBS,0,43,56.40645353148876,195.39768678262288,1511.1,1456.4,12
OBS,0,44,78.96944406058648,273.5581787168082,1481.5,1509.95,12
OBS,0,45,41.0966437435483,142.36294996876654,1534.5428571428572,1509.3000000000002,12
