Chemical,Dose,time_end,se,sd,mean,median,n
F53B,0.1,26,69.0050472462308,239.04049561832517,359.53636363636366,326.2,12
F53B,0.1,27,108.64258219808045,376.34894446510674,389.1,253.4,12
F53B,0.1,28,168.97911431818304,585.3608228341651,469.1909090909091,202.4,12
F53B,0.1,29,117.6268462966553,407.471348239804,317.0181818181818,56.3,12
F53B,0.1,30,140.74245035998678,487.54614961047537,366.1,173.3,12
F53B,0.1,31,71.81505862423299,248.77466057141802,942.6083333333333,932.75,12
F53B,0.1,32,63.76867061710419,220.9011548798981,943.425,955.2,12
F53B,0.1,33,68.86664590300077,238.56105930170477,979.2583333333333,1036.95,12
F53B,0.1,34,36.2015977799072,125.40601333994388,935.6272727272727,951.2,12
F53B,0.1,35,55.22686287103187,191.31146487053277,947.825,1007.65,12
F53B,0.1,36,70.01922084598476,242.55369602326294,370.65,295.25,12
F53B,0.1,37,140.20865104201025,485.6970145309135,493.3416666666667,369.7,12
F53B,0.1,38,138.79737820639733,480.8082220216667,459.45,306.6,12
F53B,0.1,39,150.10147493538423,519.9667617582237,410.03333333333336,139.1,12
F53B,0.1,40,164.66227029157517,570.4068364692951,427.15,87.7,12
F53B,0.1,41,87.77145839674142,304.04925079514817,949.0909090909091,897.6,12
F53B,0.1,42,46.622071116065996,161.50359185423147,929.5272727272727,982.6,12
F53B,0.1,43,56.82164413693292,196.83594922953202,1009.4,1033.5,12
F53B,0.1,44,74.8403933026609,259.2547273172924,935.7181818181818,1008.9,12
F53B,0.1,45,59.01986144896094,204.45079737055207,929.5363636363636,969.2,12
F53B,0.1,46,59.737192532936895,206.9357051371417,382.3333333333333,326.7,12
F53B,0.1,47,75.045060537727025,259.96371541685073,296.76666666666665,252.75,12
F53B,0.1,48,131.0694120552738,454.03776199582984,462.775,286.9,12
F53B,0.1,49,122.90144160458351,425.74308236519613,420.6272727272727,239.8,12
F53B,0.1,50,112.95192125480432,391.2769328516801,412.7,275.9,12
F53B,1,1,157.52342976816473,545.6771674819381,440.5,236.55,12
F53B,1,2,155.29715894296837,537.9651391206413,380.59090909090907,121.7,12
F53B,1,3,83.58232513969432,289.537667513384,265.5090909090909,169.5,12
F53B,1,4,129.4049669583237,448.2719550471769,350.025,212.25,12
F53B,1,5,101.86874861528655,352.883696610276,256.48333333333335,129.2,12
F53B,1,6,103.95721827907494,360.1183677457716,237.16666666666666,125.25,12
